User,Message
Taylor,"Hello, Binay! I'm here to assist you."

Binay,"Hi, Can I know something more about the transportation system."
Taylor,"There are buses running every 30 minutes around campus and to nearby areas. You can use the student bus pass to travel, Binay."

Binay,"Yeah nice, can you tell me something more about the cafeteria, or maybe smething about coffee."
Taylor,"The coffee bar serves freshly brewed coffee, Binay. You should definitely try their specialty drinks!"

Binay,"& ""C:/Users/Binay Ghimire/AppData/Local/Programs/Python/Python313/python.exe"" ""c:/Users/Binay Ghimire/OneDrive - iTechno/Documents/TBC'/Level 4/Fundamentals of Computer Programming/Project_Work/Project 2/final_task.py"""
Taylor,"Sorry, I didn't quite catch that. Could you please rephrase?"

Ramesh,"Hi, can you tell me something more about tuition and all?"
Chris,"Tuition rates vary depending on your course of study, Ramesh. Please visit our tuition page for detailed information on fees and scholarships."

Ramesh,"& ""C:/Users/Binay Ghimire/AppData/Local/Programs/Python/Python313/python.exe"" ""c:/Users/Binay Ghimire/OneDrive - iTechno/Documents/TBC'/Level 4/Fundamentals of Computer Programming/Project_Work/Project 2/final_task.py"""
Chris,"Sorry, I didn't quite catch that. Could you please rephrase?"

ram,exit
Alex,"Goodbye, ram! Have a great day!"

2024-12-26 22:46:21,ramesh,exit
2024-12-26 22:46:21,Taylor,"Goodbye, ramesh! Have a great day!"

